binder(kg/m3),pozzolan(kg/m3),fine_aggregate(kg/m3),water(kg/m3),foaming_agent(kg/m3),measured_density(kg/m3),period_of_testing(Days),compressive_strength(MPa)
300.0,0.0,600.0,355.0,34.0,1290.0,7,2.9
225.0,0.0,770.0,265.0,33.0,1250.0,7,0.6
225.0,25.0,770.0,265.0,35.0,1305.0,7,0.3
225.0,112.5,770.0,265.0,35.0,1285.0,7,0.2
225.0,0.0,675.0,385.0,27.0,1295.0,7,1.8
225.0,25.0,675.0,390.0,40.0,1285.0,7,1.4
225.0,112.5,675.0,400.0,43.0,1300.0,7,0.8
195.0,0.0,730.0,415.0,26.0,1255.0,7,0.4
225.0,0.0,750.0,330.0,27.0,1200.0,7,1.0
450.0,0.0,515.0,295.0,30.0,1195.0,14,1.9
450.0,0.0,450.0,340.0,26.0,1230.0,14,5.1
300.0,0.0,685.0,275.0,29.0,1175.0,14,1.1
300.0,0.0,600.0,355.0,34.0,1290.0,14,3.1
225.0,0.0,770.0,265.0,33.0,1250.0,14,0.7
225.0,25.0,770.0,265.0,35.0,1305.0,14,0.7
225.0,112.5,770.0,265.0,35.0,1285.0,14,0.3
225.0,0.0,675.0,385.0,27.0,1295.0,14,2.5
225.0,25.0,675.0,390.0,40.0,1285.0,14,1.7
225.0,112.5,675.0,400.0,43.0,1300.0,14,1.5
195.0,0.0,730.0,415.0,26.0,1255.0,14,0.4
225.0,0.0,750.0,330.0,27.0,1200.0,14,1.4
450.0,0.0,515.0,295.0,30.0,1195.0,28,3.1
450.0,0.0,450.0,340.0,26.0,1230.0,28,6.2
300.0,0.0,685.0,275.0,29.0,1175.0,28,2.0
300.0,0.0,600.0,355.0,34.0,1290.0,28,5.2
225.0,0.0,770.0,265.0,33.0,1250.0,28,1.0
225.0,25.0,770.0,265.0,35.0,1305.0,28,1.0
225.0,112.5,770.0,265.0,35.0,1285.0,28,0.8
225.0,0.0,675.0,385.0,27.0,1295.0,28,4.8
225.0,25.0,675.0,390.0,40.0,1285.0,28,2.1
225.0,112.5,675.0,400.0,43.0,1300.0,28,2.4
195.0,0.0,730.0,415.0,26.0,1255.0,28,0.4
225.0,0.0,750.0,330.0,27.0,1200.0,28,2.0
280.0,0.0,180.0,140.0,12.8,730.0,7,1.99
280.0,0.9,180.0,140.0,12.8,884.0,7,2.42
240.0,0.9,220.0,140.0,16.8,806.0,7,2.97
200.0,0.9,260.0,140.0,18.0,864.0,7,1.99
280.0,0.0,180.0,140.0,12.8,730.0,28,3.09
280.0,0.9,180.0,140.0,12.8,884.0,28,4.6
240.0,0.9,220.0,140.0,16.8,806.0,28,3.52
200.0,0.9,260.0,140.0,18.0,864.0,28,4.5
280.0,0.9,180.0,160.0,15.1,845.0,7,2.98
200.0,0.9,260.0,160.0,11.9,790.0,7,1.98
160.0,0.9,300.0,160.0,14.8,840.0,7,2.48
280.0,0.9,180.0,160.0,15.1,845.0,28,3.6
200.0,0.9,260.0,160.0,11.9,790.0,28,3.48
160.0,0.9,300.0,160.0,14.8,840.0,28,3.97
